data,produto,quantidade_vendida,valor_unitario,categoria
01/09/2026,camiseta,3,59.90,vestuario
01/09/2026,tenis,1,249.90,calcados
02/09/2026,bermuda,2,89.90,vestuario
02/09/2026,bone,4,39.90,acessorios
03/09/2026,mochila,1,159.90,acessorios
03/09/2026,camiseta,5,59.90,vestuario
04/09/2026,tenis,2,249.90,calcados
04/09/2026,bermuda,1,89.90,vestuario
05/09/2026,bone,3,39.90,acessorios
05/09/2026,camiseta,2,59.90,vestuario
06/09/2026,mochila,2,159.90,acessorios
06/09/2026,tenis,1,249.90,calcados
07/09/2026,camiseta,4,59.90,vestuario
07/09/2026,bermuda,3,89.90,vestuario
08/09/2026,bone,2,39.90,acessorios
08/09/2026,tenis,3,249.90,calcados
09/09/2026,mochila,1,159.90,acessorios
09/09/2026,camiseta,2,59.90,vestuario
10/09/2026,bermuda,2,89.90,vestuario
10/09/2026,bone,5,39.90,acessorios
11/09/2026,tenis,1,249.90,calcados
11/09/2026,camiseta,3,59.90,vestuario
12/09/2026,mochila,2,159.90,acessorios
12/09/2026,bermuda,1,89.90,vestuario
13/09/2026,camiseta,4,59.90,vestuario
13/09/2026,tenis,2,249.90,calcados
14/09/2026,bone,3,39.90,acessorios
14/09/2026,mochila,1,159.90,acessorios
15/09/2026,camiseta,2,59.90,vestuario
15/09/2026,bermuda,4,89.90,vestuario
16/09/2026,tenis,1,249.90,calcados
16/09/2026,bone,2,39.90,acessorios
17/09/2026,camiseta,3,59.90,vestuario
17/09/2026,mochila,3,159.90,acessorios
18/09/2026,bermuda,2,89.90,vestuario
18/09/2026,tenis,2,249.90,calcados
19/09/2026,camiseta,5,59.90,vestuario
19/09/2026,bone,4,39.90,acessorios
20/09/2026,mochila,1,159.90,acessorios
20/09/2026,bermuda,1,89.90,vestuario
21/09/2026,tenis,3,249.90,calcados
21/09/2026,camiseta,2,59.90,vestuario
22/09/2026,bone,2,39.90,acessorios
22/09/2026,bermuda,3,89.90,vestuario
23/09/2026,mochila,2,159.90,acessorios
23/09/2026,camiseta,4,59.90,vestuario
24/09/2026,tenis,1,249.90,calcados
24/09/2026,bone,3,39.90,acessorios
25/09/2026,bermuda,2,89.90,vestuario
25/09/2026,camiseta,3,59.90,vestuario
